developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
0146/18/FUL,1.292E+4,,,0146/18/FUL-IFSDA,local-authority-eng:SHA,2019-12-20,2019-12-20,,/developer-agreement-contribution/local-authority-eng/SHA/0146-18-FUL
0548/20/FUL,1371.71,,other,0548/20/FUL-IFSDA,local-authority-eng:SHA,2020-02-12,2020-02-12,,/developer-agreement-contribution/local-authority-eng/SHA/0548-20-FUL
1468/19/FUL,16575,,,1468/19/FUL-IFSDA,local-authority-eng:SHA,2019-11-21,2019-11-21,,/developer-agreement-contribution/local-authority-eng/SHA/1468-19-FUL
1554/17/OPA,24765,,,1554/17/OPA-IFSDA,local-authority-eng:SHA,2020-03-11,2020-03-11,,/developer-agreement-contribution/local-authority-eng/SHA/1554-17-OPA
1554/17/OPA,,6,affordable-housing,1554/17/OPA-IFSDA,local-authority-eng:SHA,2020-03-11,2020-03-11,,/developer-agreement-contribution/local-authority-eng/SHA/1554-17-OPA
1954/18/OPA,5E+3,,transport-and-travel,1954/18/OPA-IFSDA,local-authority-eng:SHA,2019-06-19,2019-06-19,,/developer-agreement-contribution/local-authority-eng/SHA/1954-18-OPA
1954/18/OPA,83362.5,,,1954/18/OPA-IFSDA,local-authority-eng:SHA,2019-06-19,2019-06-19,,/developer-agreement-contribution/local-authority-eng/SHA/1954-18-OPA
1954/18/OPA,,11,affordable-housing,1954/18/OPA -IFSDA,local-authority-eng:SHA,2019-06-19,2019-06-19,,/developer-agreement-contribution/local-authority-eng/SHA/1954-18-OPA
2101/19/FUL,15112.5,,,2101/19/FUL-IFSDA,local-authority-eng:SHA,2020-02-26,2020-02-26,,/developer-agreement-contribution/local-authority-eng/SHA/2101-19-FUL
2574/16/OPA,,3,affordable-housing,2574/16/OPA-IFSDA,local-authority-eng:SHA,2019-05-17,2019-05-17,,/developer-agreement-contribution/local-authority-eng/SHA/2574-16-OPA
2873/18/FUL,8775,,,2873/18/FUL-IFSDA,local-authority-eng:SHA,2019-04-01,2019-04-01,,/developer-agreement-contribution/local-authority-eng/SHA/2873-18-FUL
3138/17/OPA,19743.75,,,3138/17/OPA-IFSDA,local-authority-eng:SHA,2019-08-28,2019-08-28,,/developer-agreement-contribution/local-authority-eng/SHA/3138-17-OPA
3138/17/OPA,171794,,affordable-housing,3138/17/OPA-IFSDA,local-authority-eng:SHA,2019-08-28,2019-08-28,,/developer-agreement-contribution/local-authority-eng/SHA/3138-17-OPA
3475/17/OPA,,63,affordable-housing,3475/17/OPA-IFSDA,local-authority-eng:SHA,2019-05-02,2019-05-02,,/developer-agreement-contribution/local-authority-eng/SHA/3475-17-OPA
3475/17/OPA,,1,,3475/17/OPA-IFSDA,local-authority-eng:SHA,2019-05-02,2019-05-02,,/developer-agreement-contribution/local-authority-eng/SHA/3475-17-OPA
3475/17/OPA,222579,,other,3475/17/OPA-IFSDA,local-authority-eng:SHA,2019-05-02,2019-05-02,,/developer-agreement-contribution/local-authority-eng/SHA/3475-17-OPA
3475/17/OPA,137096.4,,,3475/17/OPA-IFSDA,local-authority-eng:SHA,2019-05-02,2019-05-02,,/developer-agreement-contribution/local-authority-eng/SHA/3475-17-OPA
3475/17/OPA,181893.6,,,3475/17/OPA-IFSDA,local-authority-eng:SHA,2019-05-02,2019-05-02,,/developer-agreement-contribution/local-authority-eng/SHA/3475-17-OPA
3552/18/FUL,9.75E+3,,,3552/18/FUL-IFSDA,local-authority-eng:SHA,2020-03-16,2020-03-16,,/developer-agreement-contribution/local-authority-eng/SHA/3552-18-FUL
3743/18/FUL,8287.5,,,3743/18/FUL-IFSDA,local-authority-eng:SHA,2019-11-21,2019-11-21,,/developer-agreement-contribution/local-authority-eng/SHA/3743-18-FUL
4302/17/OPA,,3,affordable-housing,4302/17/OPA-IFSDA,local-authority-eng:SHA,2019-12-17,2019-12-17,,/developer-agreement-contribution/local-authority-eng/SHA/4302-17-OPA
4302/17/OPA,205701,,affordable-housing,4302/17/OPA-IFSDA,local-authority-eng:SHA,2019-12-17,2019-12-17,,/developer-agreement-contribution/local-authority-eng/SHA/4302-17-OPA
4302/17/OPA,19318.5,,,4302/17/OPA-IFSDA,local-authority-eng:SHA,2019-12-17,2019-12-17,,/developer-agreement-contribution/local-authority-eng/SHA/4302-17-OPA
