developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
1484/17/OPA,9.5E+4,,affordable-housing,1484/17/OPA-IFSDA,local-authority-eng:WDE,2019-12-13,2019-12-13,,/developer-agreement-contribution/local-authority-eng/WDE/1484-17-OPA
1484/17/OPA,,1,,1484/17/OPA-IFSDA,local-authority-eng:WDE,2019-12-13,2019-12-13,,/developer-agreement-contribution/local-authority-eng/WDE/1484-17-OPA
1484/17/OPA,11184.04,,,1484/17/OPA-IFSDA,local-authority-eng:WDE,2019-12-13,2019-12-13,,/developer-agreement-contribution/local-authority-eng/WDE/1484-17-OPA
1484/17/OPA,19295.36,,,1484/17/OPA-IFSDA,local-authority-eng:WDE,2019-12-13,2019-12-13,,/developer-agreement-contribution/local-authority-eng/WDE/1484-17-OPA
1549/18/FUL,,26,affordable-housing,1549/18/FUL-IFSDA,local-authority-eng:WDE,2019-06-25,2019-06-25,,/developer-agreement-contribution/local-authority-eng/WDE/1549-18-FUL
1549/18/FUL,21790.5,,,1549/18/FUL-IFSDA,local-authority-eng:WDE,2019-06-25,2019-06-25,,/developer-agreement-contribution/local-authority-eng/WDE/1549-18-FUL
1794/18/FUL,,1,transport-and-travel,1794/18/FUL-IFSDA,local-authority-eng:WDE,2019-09-17,2019-09-17,,/developer-agreement-contribution/local-authority-eng/WDE/1794-18-FUL
2353/18/OPA,,16,affordable-housing,2353/18/OPA-IFSDA,local-authority-eng:WDE,2019-12-12,2019-12-12,,/developer-agreement-contribution/local-authority-eng/WDE/2353-18-OPA
2353/18/OPA,,1,,2353/18/OPA-IFSDA,local-authority-eng:WDE,2019-12-12,2019-12-12,,/developer-agreement-contribution/local-authority-eng/WDE/2353-18-OPA
2353/18/OPA,58864.72,,,2353/18/OPA-IFSDA,local-authority-eng:WDE,2019-12-12,2019-12-12,,/developer-agreement-contribution/local-authority-eng/WDE/2353-18-OPA
2353/18/OPA,,1,open-space-and-leisure,2353/18/OPA-IFSDA,local-authority-eng:WDE,2019-12-12,2019-12-12,,/developer-agreement-contribution/local-authority-eng/WDE/2353-18-OPA
2353/18/OPA,1.35E+4,,health,2353/18/OPA-IFSDA,local-authority-eng:WDE,2019-12-12,2019-12-12,,/developer-agreement-contribution/local-authority-eng/WDE/2353-18-OPA
