amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
,,3_XX_XXXX_XX-da,3_XX_XXXX_XX-C1,,2021-02-12,local-authority-eng:EHE,,,/developer-agreement-contribution/local-authority-eng/EHE/3-XX-XXXX-XX-C1
,,,2019 to 2020,,2021-02-12,local-authority-eng:EHE,,,/developer-agreement-contribution/local-authority-eng/EHE/2019-to-2020
,affordable-housing,3_15_1691_OUT-da,3_15_1691_OUT-c1,,2021-02-12,local-authority-eng:EHE,2019-04-10,3,/developer-agreement-contribution/local-authority-eng/EHE/3-15-1691-OUT-c1
1.05E+4,community-facilities,3_17_1222_VAR-da,3_17_1222_VAR-c1,,2021-02-12,local-authority-eng:EHE,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c1
2879,community-facilities,3_17_1222_VAR-da,3_17_1222_VAR-c2,,2021-02-12,local-authority-eng:EHE,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c2
8071.44,health,3_17_1222_VAR-da,3_17_1222_VAR-c3,,2021-02-12,local-authority-eng:EHE,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c3
17942.47,open-space-and-leisure,3_17_1222_VAR-da,3_17_1222_VAR-c4,,2021-02-12,local-authority-eng:EHE,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c4
936,community-facilities,3_17_1222_VAR-da,3_17_1222_VAR-c5,,2021-02-12,local-authority-eng:EHE,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c5
3.1E+3,monitoring-fees,3_17_1222_VAR-da,3_17_1222_VAR-c5,,2021-02-12,local-authority-eng:EHE,2019-04-10,,/developer-agreement-contribution/local-authority-eng/EHE/3-17-1222-VAR-c5
,affordable-housing,3_18_0031_FUL-da,3_18_0031_FUL-c1,,2021-02-12,local-authority-eng:EHE,2019-07-16,12,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c1
2.727E+4,community-facilities,3_18_0031_FUL-da,3_18_0031_FUL-c2,,2021-02-12,local-authority-eng:EHE,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c2
1.863E+4,health,3_18_0031_FUL-da,3_18_0031_FUL-c3,,2021-02-12,local-authority-eng:EHE,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c3
4.089E+4,open-space-and-leisure,3_18_0031_FUL-da,3_18_0031_FUL-c4,,2021-02-12,local-authority-eng:EHE,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c4
2.16E+3,community-facilities,3_18_0031_FUL-da,3_18_0031_FUL-c5,,2021-02-12,local-authority-eng:EHE,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-0031-FUL-c5
568437,affordable-housing,3_18_1234_FUL-da,3_18_1234_FUL-c1,,2021-02-12,local-authority-eng:EHE,2019-09-18,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-1234-FUL-c1
,affordable-housing,3_18_2457_FUL-da,3_18_2457_FUL-c1,,2021-02-12,local-authority-eng:EHE,2019-10-24,26,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c1
17155,community-facilities,3_18_2457_FUL-da,3_18_2457_FUL-c2,,2021-02-12,local-authority-eng:EHE,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c2
16154,community-facilities,3_18_2457_FUL-da,3_18_2457_FUL-c4,,2021-02-12,local-authority-eng:EHE,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c4
2.678E+4,transport-and-travel,3_18_2457_FUL-da,3_18_2457_FUL-c5,,2021-02-12,local-authority-eng:EHE,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c5
60527,open-space-and-leisure,3_18_2457_FUL-da,3_18_2457_FUL-c9,,2021-02-12,local-authority-eng:EHE,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c9
4.68E+3,community-facilities,3_18_2457_FUL-da,3_18_2457_FUL-c11,,2021-02-12,local-authority-eng:EHE,2019-10-24,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2457-FUL-c11
,affordable-housing,3_19_0408_FUL-da,3_19_0408_FUL-c1,,2021-02-12,local-authority-eng:EHE,2019-10-28,9,/developer-agreement-contribution/local-authority-eng/EHE/3-19-0408-FUL-c1
2918,open-space-and-leisure,3_19_0408_FUL-da,3_19_0408_FUL-c2,,2021-02-12,local-authority-eng:EHE,2019-10-28,,/developer-agreement-contribution/local-authority-eng/EHE/3-19-0408-FUL-c2
5231,community-facilities,3_19_0408_FUL-da,3_19_0408_FUL-c3,,2021-02-12,local-authority-eng:EHE,2019-10-28,,/developer-agreement-contribution/local-authority-eng/EHE/3-19-0408-FUL-c3
19761,open-space-and-leisure,3_19_0408_FUL-da,3_19_0408_FUL-c6,,2021-02-12,local-authority-eng:EHE,2019-10-28,,/developer-agreement-contribution/local-authority-eng/EHE/3-19-0408-FUL-c6
,other,3_18_1898_VAR-da,3_18_1898_VAR-c1,,2021-02-12,local-authority-eng:EHE,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-1898-VAR-c1
,affordable-housing,3_18_2253_OUT-da,3_18_2253_OUT-c1,,2021-02-12,local-authority-eng:EHE,2019-12-19,299,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c1
72597,green-infrastructure,3_18_2253_OUT-da,3_18_2253_OUT-c2,,2021-02-12,local-authority-eng:EHE,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c2
1.27E+4,community-facilities,3_18_2253_OUT-da,3_18_2253_OUT-c6,,2021-02-12,local-authority-eng:EHE,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c6
1E+4,community-facilities,3_18_2253_OUT-da,3_18_2253_OUT-c9,,2021-02-12,local-authority-eng:EHE,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c9
156939,health,3_18_2253_OUT-da,3_18_2253_OUT-c12,,2021-02-12,local-authority-eng:EHE,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c12
530832,health,3_18_2253_OUT-da,3_18_2253_OUT-c13,,2021-02-12,local-authority-eng:EHE,2019-12-19,,/developer-agreement-contribution/local-authority-eng/EHE/3-18-2253-OUT-c13
