amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
2.961E+4,affordable-housing,IFS222,IFS222/affordable-housing_off-site,,2020-12-31,local-authority-eng:ERY,2019-08-13,,/developer-agreement-contribution/local-authority-eng/ERY/IFS222-affordable-housing-off-site
0,affordable-housing,IFS661,IFS661/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-06-14,20,/developer-agreement-contribution/local-authority-eng/ERY/IFS661-affordable-housing-on-site
1.545E+4,affordable-housing,IFS661,IFS661/affordable-housing_off-site,,2020-12-31,local-authority-eng:ERY,2019-06-14,,/developer-agreement-contribution/local-authority-eng/ERY/IFS661-affordable-housing-off-site
217129,open-space-and-leisure,IFS661,IFS661/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-06-14,,/developer-agreement-contribution/local-authority-eng/ERY/IFS661-open-space-and-leisure-off-site
0,affordable-housing,IFS665,IFS665/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-07-08,7,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-affordable-housing-on-site
3.896E+4,affordable-housing,IFS665,IFS665/affordable-housing_off-site,,2020-12-31,local-authority-eng:ERY,2019-07-08,,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-affordable-housing-off-site
48781,open-space-and-leisure,IFS665,IFS665/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-07-08,,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-open-space-and-leisure-off-site
0,open-space-and-leisure,IFS665,IFS665/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-07-08,1,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-open-space-and-leisure-on-site
5E+2,other,IFS665,IFS665_other_pspo,,2020-12-31,local-authority-eng:ERY,2019-07-08,,/developer-agreement-contribution/local-authority-eng/ERY/IFS665-other-pspo
0,affordable-housing,IFS662,IFS662/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-06-18,3,/developer-agreement-contribution/local-authority-eng/ERY/IFS662-affordable-housing-on-site
37374,affordable-housing,IFS662,IFS662/affordable-housing_off-site,,2020-12-31,local-authority-eng:ERY,2019-06-18,,/developer-agreement-contribution/local-authority-eng/ERY/IFS662-affordable-housing-off-site
31282,open-space-and-leisure,IFS662,IFS662/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-06-18,,/developer-agreement-contribution/local-authority-eng/ERY/IFS662-open-space-and-leisure-off-site
0,open-space-and-leisure,IFS662,IFS662/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-06-18,1,/developer-agreement-contribution/local-authority-eng/ERY/IFS662-open-space-and-leisure-on-site
0,affordable-housing,IFS659,IFS659/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-05-31,8,/developer-agreement-contribution/local-authority-eng/ERY/IFS659-affordable-housing-on-site
120903,open-space-and-leisure,IFS659,IFS659/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-05-31,,/developer-agreement-contribution/local-authority-eng/ERY/IFS659-open-space-and-leisure-off-site
2.781E+4,open-space-and-leisure,IFS659,IFS659/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-05-31,,/developer-agreement-contribution/local-authority-eng/ERY/IFS659-open-space-and-leisure-on-site
5E+2,other,IFS659,IFS659_other_pspo,,2020-12-31,local-authority-eng:ERY,2019-05-31,,/developer-agreement-contribution/local-authority-eng/ERY/IFS659-other-pspo
0,affordable-housing,IFS657,IFS657/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-04-26,1,/developer-agreement-contribution/local-authority-eng/ERY/IFS657-affordable-housing-on-site
3.09E+4,affordable-housing,IFS657,IFS657/affordable-housing_off-site,,2020-12-31,local-authority-eng:ERY,2019-04-26,,/developer-agreement-contribution/local-authority-eng/ERY/IFS657-affordable-housing-off-site
2.804E+4,open-space-and-leisure,IFS657,IFS657/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-04-26,,/developer-agreement-contribution/local-authority-eng/ERY/IFS657-open-space-and-leisure-off-site
3.5E+3,highways,IFS672,IFS672/highways-tro,,2020-12-31,local-authority-eng:ERY,2019-09-10,,/developer-agreement-contribution/local-authority-eng/ERY/IFS672-highways-tro
0,open-space-and-leisure,IFS672,IFS672/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-09-10,1,/developer-agreement-contribution/local-authority-eng/ERY/IFS672-open-space-and-leisure-on-site
24356,open-space-and-leisure,IFS672,IFS672/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-09-10,,/developer-agreement-contribution/local-authority-eng/ERY/IFS672-open-space-and-leisure-off-site
0,affordable-housing,IFS672,IFS672/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-09-10,2,/developer-agreement-contribution/local-authority-eng/ERY/IFS672-affordable-housing-on-site
31655,affordable-housing,IFS672,IFS672/affordable-housing_off-site,,2020-12-31,local-authority-eng:ERY,2019-09-10,,/developer-agreement-contribution/local-authority-eng/ERY/IFS672-affordable-housing-off-site
17975,open-space-and-leisure,IFS670,IFS670/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-08-20,,/developer-agreement-contribution/local-authority-eng/ERY/IFS670-open-space-and-leisure-off-site
0,open-space-and-leisure,IFS670,IFS670/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-08-20,1,/developer-agreement-contribution/local-authority-eng/ERY/IFS670-open-space-and-leisure-on-site
0,affordable-housing,IFS660,IFS660/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-06-14,11,/developer-agreement-contribution/local-authority-eng/ERY/IFS660-affordable-housing-on-site
3.895E+4,education,IFS660,IFS660/education,,2020-12-31,local-authority-eng:ERY,2019-06-14,,/developer-agreement-contribution/local-authority-eng/ERY/IFS660-education
40822,open-space-and-leisure,IFS660,IFS660/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-06-14,,/developer-agreement-contribution/local-authority-eng/ERY/IFS660-open-space-and-leisure-on-site
5E+2,other,IFS660,IFS660_other_pspo,,2020-12-31,local-authority-eng:ERY,2019-06-14,,/developer-agreement-contribution/local-authority-eng/ERY/IFS660-other-pspo
30791,open-space-and-leisure,IFS681,IFS681/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-11-12,,/developer-agreement-contribution/local-authority-eng/ERY/IFS681-open-space-and-leisure-off-site
0,affordable-housing,IFS692,IFS692/affordable-housing_on-site,2020-02-20,2020-12-31,local-authority-eng:ERY,2020-02-20,2,/developer-agreement-contribution/local-authority-eng/ERY/IFS692-affordable-housing-on-site
1.948E+4,affordable-housing,IFS692,IFS692/affordable-housing_off-site,2020-02-20,2020-12-31,local-authority-eng:ERY,2020-02-20,,/developer-agreement-contribution/local-authority-eng/ERY/IFS692-affordable-housing-off-site
66771,open-space-and-leisure,IFS692,IFS692/open-space-and-leisure_off-site,2020-02-20,2020-12-31,local-authority-eng:ERY,2020-02-20,,/developer-agreement-contribution/local-authority-eng/ERY/IFS692-open-space-and-leisure-off-site
100575,open-space-and-leisure,IFS654,IFS654/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-04-04,,/developer-agreement-contribution/local-authority-eng/ERY/IFS654-open-space-and-leisure-off-site
7344,open-space-and-leisure,IFS654,IFS654/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-04-04,,/developer-agreement-contribution/local-authority-eng/ERY/IFS654-open-space-and-leisure-on-site
5E+2,other,IFS654,IFS654/other_pspo,,2020-12-31,local-authority-eng:ERY,2019-04-04,,/developer-agreement-contribution/local-authority-eng/ERY/IFS654-other-pspo
0,affordable-housing,IFS654,IFS654/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-04-04,8,/developer-agreement-contribution/local-authority-eng/ERY/IFS654-affordable-housing-on-site
3.09E+4,affordable-housing,IFS654,IFS654/affordable-housing_off-site,,2020-12-31,local-authority-eng:ERY,2019-04-04,,/developer-agreement-contribution/local-authority-eng/ERY/IFS654-affordable-housing-off-site
1.545E+4,affordable-housing,IFS673,IFS673/affordable-housing_off-site,,2020-12-31,local-authority-eng:ERY,2019-09-16,,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-affordable-housing-off-site
0,affordable-housing,IFS673,IFS673/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-09-16,87,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-affordable-housing-on-site
5.7E+3,transport-and-travel,IFS673,IFS673/transport-public-transport,,2020-12-31,local-authority-eng:ERY,2019-09-16,,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-transport-public-transport
1E+2,transport-and-travel,IFS673,IFS673/transport-bus-stop,,2020-12-31,local-authority-eng:ERY,2019-09-16,,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-transport-bus-stop
5.015E+5,highways,IFS673,IFS673/highways-improvement,,2020-12-31,local-authority-eng:ERY,2019-09-16,,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-highways-improvement
3E+5,highways,IFS673,IFS673/highways-management,,2020-12-31,local-authority-eng:ERY,2019-09-16,,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-highways-management
473750.6,open-space-and-leisure,IFS673,IFS673/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-09-16,,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-open-space-and-leisure-off-site
0,open-space-and-leisure,IFS673,IFS673/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-09-16,11,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-open-space-and-leisure-on-site
5E+2,other,IFS673,IFS673/other_pspo,,2020-12-31,local-authority-eng:ERY,2019-09-16,,/developer-agreement-contribution/local-authority-eng/ERY/IFS673-other-pspo
0,other,IFS656,IFS656_other_to-retain-land-in-same-ownership,,2020-12-31,local-authority-eng:ERY,2019-04-12,1,/developer-agreement-contribution/local-authority-eng/ERY/IFS656-other-to-retain-land-in-same-ownership
0,affordable-housing,IFS667,IFS667/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-07-30,9,/developer-agreement-contribution/local-authority-eng/ERY/IFS667-affordable-housing-on-site
122177,open-space-and-leisure,IFS667,IFS667/open-space-and-leisure_off-site,,2020-12-31,local-authority-eng:ERY,2019-07-30,,/developer-agreement-contribution/local-authority-eng/ERY/IFS667-open-space-and-leisure-off-site
0,open-space-and-leisure,IFS667,IFS667/open-space-and-leisure_on-site,,2020-12-31,local-authority-eng:ERY,2019-07-30,1,/developer-agreement-contribution/local-authority-eng/ERY/IFS667-open-space-and-leisure-on-site
0,affordable-housing,IFS679,IFS679/affordable-housing_on-site,,2020-12-31,local-authority-eng:ERY,2019-10-15,30,/developer-agreement-contribution/local-authority-eng/ERY/IFS679-affordable-housing-on-site
